Gender1,Percent_SSC,SBoard1,SBoard2,Percent_HSC,HBoard1,HBoard2,SHSC1,SHSC2,Percent_Degree,Experience_Yrs,Percentile_ET,Percent_MBA,S1,S2,Marks_Communication,Marks_Projectwork,Marks_BOCA,Place
0,62,0,0,88,0,0,1,0,52,0,55,58.8,1,0,50,65,74,1
0,76.33,1,0,75.33,0,0,0,1,75.48,1,86.5,66.28,0,1,69,70,75,1
0,60,0,1,63,0,0,0,0,58,0,75,57.8,0,1,54,66,62,1
0,61,0,1,55,0,1,0,1,54,1,66,59.43,1,0,52,65,67,1
0,68,1,0,77,1,0,1,0,72.5,0,43.12,57.23,0,1,74,72,50,1
0,82.8,0,1,70.6,0,1,1,0,69.3,0,96.8,55.5,0,1,65,76,70,1
1,79.6,0,0,87,0,0,1,0,72.35,0,98.69,69.78,1,0,71,67,60,0
0,58,0,0,59,1,0,1,0,48,0,79,54.01,0,1,54,78,54,1
0,60,0,0,52.8,0,1,0,1,73.25,1,55,51.58,0,1,53,52,58,1
0,83,0,0,51,0,1,0,1,51,0,33,58.21,1,0,50,68,63,1
1,49,0,0,52.2,1,0,1,0,85,0,74.28,53.29,0,1,50,65,74,0
0,79,0,1,59,0,0,0,1,60,1,67,62.14,0,1,54,78,62,1
0,66,0,0,46,0,0,1,0,65,0,0,54.65,0,1,53,60,65,0
0,68.4,1,0,85.6,0,1,1,0,72,1,70,63.26,0,1,75,72,57,1
0,70,0,1,76,0,0,1,0,68,0,91.34,61.29,0,1,63,63,75,1
0,59,0,1,75,0,0,1,0,65,0,35,62.51,0,1,59,76,56,1
0,63,1,0,78,0,0,1,0,65,0,54,52.21,0,1,53,74,50,1
0,50,1,0,53,0,0,1,0,54,1,62,60.85,1,0,57,62,72,1
0,69,0,0,75,0,1,1,0,49,1,75,60.77,0,1,61,73,62,1
0,49,0,0,55,0,0,0,1,57,1,49,58.56,0,1,50,59,55,1
0,64.6,0,1,63.4,1,0,1,0,76.3,1,60,63.7,0,1,71,69,70,1
1,50,0,1,60,0,1,0,1,71,0,62,65.04,1,0,55,61,59,1
1,74,1,0,84,0,1,1,0,53,0,68,68.63,0,1,71,86,54,1
0,67,0,1,50,1,0,1,0,52,0,76,54.96,1,0,50,63,59,1
1,75,0,0,77,0,1,1,0,73,0,48,64.19,1,0,58,57,80,1
1,60,0,1,72,0,1,1,0,65,1,72,64.66,0,1,57,74,81,1
0,55,0,1,61.2,0,0,1,0,59.6,1,60,62.54,0,1,67,66,58,1
0,78,0,0,52,0,0,0,1,66,1,79,52.41,0,0,53,57,54,1
0,50.08,0,0,48.5,0,1,1,0,51.61,1,0,56.61,1,0,50,71,59,1
0,56,0,0,54,0,0,0,1,59,0,70,61.83,1,0,54,71,68,1
1,60,0,1,75,1,0,1,0,68,1,60,67.28,0,1,58,71,65,0
1,68,0,1,74,0,0,1,0,70,2,68,64.08,1,0,63,79,77,1
1,40,0,1,40,0,1,1,0,51,0,49,51.75,0,1,50,59,53,0
0,77.12,0,0,85,0,0,1,0,56.77,0,35,56.34,0,0,56,66,58,0
0,52,0,0,62,0,1,0,0,66,1,50.48,77.89,0,1,82,80,68,1
0,54,0,0,60,0,1,1,0,60,0,50,56.7,1,0,55,69,59,1
1,76,0,0,73,1,0,1,0,83,0,95,69.06,0,1,78,73,80,1
1,64.8,0,0,52.8,0,0,0,1,68.23,0,55.53,68.81,0,0,68,63,60,1
1,74.4,0,0,52,0,0,0,1,58.74,1,92,63.62,0,1,62,87,73,1
0,73.5,0,0,94.7,0,1,0,1,76.86,0,97.4,74.01,0,1,60,69,82,1
1,57.58,0,0,59.6,0,1,1,0,50.2,1,76,65.33,0,1,65,75,69,1
1,68,0,1,69,0,0,1,0,40,0,74,62.8,1,0,55,59,82,1
0,66,0,0,76,0,0,1,0,60,1,94,57.55,0,1,51,60,71,1
0,60.8,0,0,71.83,0,0,1,0,62.41,0,41.38,60.76,0,1,53,73,78,1
0,58,0,0,62,0,0,1,0,62,0,68,57.69,1,0,54,70,58,1
0,73.76,0,0,73.5,0,0,1,0,63.5,2,73.35,64.15,0,1,68,78,65,1
0,70,0,1,75,0,0,1,0,60,0,77,51.29,0,1,60,56,52,0
1,59,0,1,68.5,0,0,1,0,69,0,52,56.7,1,0,58,63,50,1
1,75,0,1,58,0,0,0,1,69,0,64,58.32,1,0,62,64,50,1
1,56,1,0,78,0,1,1,0,62.4,0,50.89,62.21,1,0,57,70,60,1
0,52,0,1,57,0,0,1,0,47,1,83,57.61,0,1,50,74,74,1
1,84,0,0,60,0,1,0,1,79,1,88,72.78,0,1,73,83,77,1
0,67,0,0,54,0,1,0,1,54,1,68.44,62.77,1,0,59,68,60,1
1,64,0,1,75,0,0,1,0,70,0,71,62.74,1,0,63,71,62,1
0,54,0,1,47,0,0,1,0,59,0,64,51.45,0,1,64,63,56,0
0,82.6,0,1,64,0,0,0,1,56,1,0,68.85,0,1,71,76,60,1
1,76,0,1,73,0,0,0,1,59.6,0,58,55.47,1,0,58,59,58,1
1,70,0,0,50,0,0,0,1,60,0,53.7,56.86,1,0,53,63,56,1
0,78,0,0,63,0,1,0,1,58,0,93,62.56,0,1,58,67,70,1
1,75,1,0,74,0,1,1,0,78,0,60,66.72,0,1,71,69,67,1
1,82,0,0,68.16,0,1,1,0,71,2,65,69.76,1,0,67,70,79,1
0,52,0,0,42,1,0,0,1,69,0,63,51.21,0,1,51,50,50,0
0,84,0,0,84,0,1,1,0,64,0,95,62.9,1,0,68,59,72,1
1,74,0,0,68,0,0,1,0,79,1,89,69.7,0,1,68,77,76,1
1,84,0,1,72,0,0,0,1,78,0,58,66.53,1,0,71,58,50,1
1,78.89,0,0,79.98,0,0,0,1,71.6,0,68,71.63,1,0,71,76,64,0
0,55,1,0,52,0,1,1,0,51,1,78,54.55,0,1,50,75,51,1
0,58,0,0,54,0,1,1,0,64,0,64,62.46,0,1,50,71,60,1
1,53,0,0,40,0,1,0,0,54,1,65,56.11,1,0,54,66,75,0
1,72.2,0,1,70.2,0,1,0,1,64.4,0,65,62.98,1,0,52,58,75,1
0,56.4,0,0,66.83,0,0,1,0,48.42,0,97.33,62.27,0,1,72,80,65,1
0,59.4,0,1,66.12,0,0,1,0,58.2,0,67,62.65,1,0,54,65,53,1
1,65,0,1,78,0,0,1,0,75,1,53,60.91,0,1,56,73,69,1
1,43.89,0,0,48.83,0,0,1,0,55,2,71.2,65.49,1,0,66,74,53,0
0,77,0,0,65,0,1,0,1,70,0,87,71.04,1,0,70,73,84,1
1,71,1,0,52,0,0,0,1,65,0,78,65.56,1,0,66,84,77,1
0,55.4,0,1,61.6,0,0,0,1,59,0,71,52.71,1,0,56,67,52,1
0,40.5,0,0,60.14,0,1,1,0,52.37,1,42.26,61.31,0,1,56,64,61,0
0,68,0,0,68,0,0,0,1,70,0,68,67.31,0,1,53,76,78,1
0,55,0,0,66.4,1,0,1,0,55.4,0,68,66.88,0,1,55,70,62,1
0,63,1,0,73,0,0,1,0,72,0,80,63.59,0,1,60,72,58,1
0,69,0,1,54,0,0,0,1,64,0,74,57.99,0,1,50,66,60,1
0,44.6,0,1,60.58,0,1,0,1,68.11,0,57.6,56.66,0,1,54,63,62,1
0,69,0,1,65,0,0,0,1,68,1,60,57.24,0,1,50,67,51,1
0,81.2,0,1,70.4,0,1,1,0,62.89,0,61.6,62.48,0,1,60,77,62,1
1,83.5,0,0,59.2,0,1,0,1,63.4,0,59,59.69,0,1,62,79,71,1
0,79,0,1,65,0,0,1,0,65,0,44.56,64.75,0,1,64,67,66,1
0,50,1,0,64,0,0,1,0,50,0,13,57.76,0,1,50,76,50,1
0,73.4,0,0,75,0,0,0,1,64.38,1,78,76.72,1,0,87,79,65,1
0,66,0,0,78,0,0,1,0,70,0,68.5,59.5,1,0,71,64,59,1
0,77,0,0,68,0,0,1,0,73,0,61,58.78,0,1,52,68,74,1
0,59,0,0,50,0,0,0,1,59,0,89.69,57.1,1,0,55,63,59,1
0,80,0,0,69,1,0,0,1,62,0,68.92,58.46,1,0,56,64,71,1
0,77.92,0,0,75.5,0,0,1,0,63,0,68.71,60.99,0,1,67,77,60,1
1,77.7,0,1,50,0,0,1,0,78.7,0,79,59.24,1,0,58,64,74,1
0,70,1,0,68,0,0,0,1,62,1,70,68.07,0,1,66,64,73,1
0,44,0,0,72,1,0,1,0,59,0,41,58.75,0,0,50,58,57,1
0,79,0,0,53,1,0,0,1,56,0,89,65.45,0,1,78,73,68,1
0,56,0,1,47,0,0,0,1,61.17,0,46.92,62.4,0,1,60,66,56,1
1,80.32,0,0,76.83,0,1,1,0,76.3,0,47.31,71.15,0,1,74,79,66,0
0,55,0,0,74.67,0,0,0,0,59,2,50,60.43,0,1,51,69,80,1
0,53.43,0,0,64.93,0,1,1,0,53,1,40,60.76,0,1,51,73,66,1
0,72,0,0,65.29,0,0,1,0,67,0,95,66.94,0,1,65,73,81,1
0,81.86,0,0,62,0,1,0,1,76,0,95.5,68.53,0,1,54,67,77,1
1,73,0,0,74,0,0,0,1,56,0,96,61.41,0,1,69,68,70,1
0,59.6,0,1,80.83,0,0,1,0,67.72,0,86,59.75,0,1,54,68,60,1
0,48.6,0,1,59.8,0,1,1,0,66.2,0,84.27,67.2,0,1,52,70,71,1
1,64,1,0,70,0,0,1,0,83.5,0,74,67,1,0,66,64,64,1
1,61.5,0,0,65.4,0,0,0,0,67.93,0,61,64.27,0,1,69,69,61,1
0,60.4,1,0,51.8,0,0,1,0,74.8,0,94.3,51.24,0,1,53,50,50,1
0,59,0,0,77,0,0,0,1,59,1,69,57.65,0,1,57,79,62,1
0,81,0,0,87.9,0,1,0,1,58.5,0,86.04,59.42,0,1,50,67,58,1
1,77,0,1,70,0,0,0,1,72,0,75,67.99,1,0,76,64,71,1
1,64,0,0,57,0,0,1,0,65,1,67,62.35,1,0,56,67,52,1
1,61,0,0,49,0,0,0,1,63,0,43.5,67.13,1,0,59,68,63,0
1,52,0,0,59,0,0,0,0,38,1,40,62.01,1,0,52,69,64,1
0,78.7,0,0,55,0,0,0,1,63,1,86,70.2,0,1,66,64,75,1
0,68,0,1,75,0,1,1,0,80,0,82,60.44,0,1,65,77,57,1
0,81,0,0,76,0,0,0,1,64,1,84,66.69,0,1,66,69,58,1
0,55,0,0,52,0,0,1,0,54.2,0,20,55.83,0,1,54,63,68,0
0,59,0,0,58,0,1,1,0,59,0,0,59.81,1,0,53,66,78,1
0,65,0,1,58,1,0,0,1,66,2,55,62,0,1,55,71,75,1
1,80.84,0,0,86.83,0,0,1,0,75.2,1,78.74,76.18,0,1,69,84,82,1
0,54,0,0,55,0,0,1,0,58,0,67,57.03,0,1,58,72,57,1
0,64.6,1,0,54,0,0,0,1,64,0,75,59.08,1,0,59,67,62,1
0,46,0,0,41,0,0,1,0,43,1,64,58.85,0,1,52,73,67,1
1,61,0,1,54,0,1,1,0,69,0,58,64.36,1,0,60,63,71,1
1,81,0,0,72,0,0,0,1,65,1,62,62.36,1,0,68,75,79,1
1,82,0,0,87,0,0,1,0,80,0,92,68.03,0,1,76,69,74,1
1,78.7,0,0,71,0,0,1,0,49,0,92,66.86,0,1,60,50,77,1
0,57,1,0,62,0,0,1,0,52.8,1,67,62.79,1,0,63,66,74,1
0,54.16,1,0,57.4,0,0,1,0,54.52,1,22.95,58,0,1,55,62,65,0
1,55.23,0,1,64,0,0,0,1,60,0,72,59.47,0,1,54,73,63,1
0,48,0,0,50,0,0,1,0,53,1,47.41,64.63,1,0,69,75,51,1
0,59,0,0,64,0,0,1,0,63,0,29,53.57,1,0,55,73,63,1
0,55,0,1,70,0,1,1,0,56,0,72,55.41,1,0,59,64,63,0
0,75.66,1,0,71.5,0,0,1,0,58.35,0,56.39,66.5,0,1,74,69,56,1
0,50,0,1,57,0,1,1,0,58,0,53.88,54.97,0,1,62,64,64,1
0,59,0,1,62,1,0,1,0,50,0,79,56.51,0,1,58,61,50,1
0,68,0,1,75,0,0,1,0,61,2,95.46,62.16,0,1,62,72,73,1
1,73,0,1,65,0,0,0,1,74,1,66,64.44,0,1,62,77,96,1
1,78.5,1,0,70.5,0,1,1,0,65,0,93.91,69.03,0,1,70,73,80,1
1,64,0,1,70,0,0,1,0,59,0,70,57.31,0,1,55,72,55,1
0,59,1,0,90,0,0,1,0,67,0,50,59.47,0,1,63,77,66,0
1,48,0,0,62,0,0,1,0,62,1,56.39,64.95,1,0,72,66,64,0
0,58,0,1,67,0,0,1,0,64,0,78,60.44,1,0,54,70,60,1
1,74,0,0,53,0,1,1,0,64,2,57.5,61.31,0,1,62,73,54,1
1,65,0,0,68,0,0,1,0,55,1,67,55.42,0,1,56,75,52,1
0,47,0,0,52,0,0,0,1,60,0,58,63.39,1,0,62,64,57,1
0,70,0,1,75,0,0,0,1,71,1,85,65.83,1,0,63,64,79,1
0,64,0,1,55,0,0,0,1,59,1,55,58.23,1,0,59,72,68,1
0,64,1,0,69,0,0,0,1,60,0,85,55.3,1,0,54,64,57,0
0,66.08,0,0,53,0,0,0,1,56,0,71,65.69,0,1,58,75,73,1
1,77,1,0,79,0,0,1,0,86.7,1,95,67.83,0,1,75,79,75,1
0,79,0,0,87,0,1,1,0,81,0,80,73.52,1,0,71,64,71,1
0,56,0,1,79,0,0,1,0,65,0,84,58.31,0,1,50,64,72,1
0,55,1,0,68,0,1,0,1,71,1,86,56.09,1,0,58,65,58,0
1,64.5,0,1,65,0,0,0,1,68,0,57.2,54.8,1,0,61,75,50,1
0,56,0,0,59,0,0,0,1,65,2,60,60.64,1,0,54,62,74,0
0,50,0,0,53,0,0,1,0,55,0,58,53.94,1,0,50,70,55,1
1,68.96,0,0,76,1,0,1,0,63,0,72.15,63.08,0,1,79,66,54,1
0,60,0,1,63,1,0,0,1,65,0,53.7,55.01,1,0,50,64,60,1
1,70,0,0,55,0,1,0,1,62,0,89,60.5,0,1,50,79,70,1
0,48,0,0,54,0,0,0,1,58,0,39,52.42,1,0,50,70,53,1
0,63.2,0,1,67.8,1,0,1,0,62.6,2,96,70.85,0,1,53,76,72,1
0,74,0,0,72,0,1,0,1,71,0,80,67.05,0,1,73,73,58,1
0,73,0,1,77,0,0,0,1,76,1,97,70.48,1,0,66,62,78,1
0,52.8,0,1,63.4,0,1,1,0,58.6,2,82.66,64.34,0,1,58,74,68,1
0,63,0,0,43,0,1,0,1,63,0,73,58.81,0,0,59,60,55,0
1,59,1,0,62,0,0,0,1,65.6,3,55.67,71.49,1,0,80,77,58,1
0,71,1,0,51,0,0,0,1,74,1,85,59.99,1,0,65,79,73,1
1,53.44,0,0,70,0,1,0,0,70,0,14.99,57.98,0,1,56,77,61,1
1,61.5,1,0,61.8,0,0,0,0,65.3,2,80.4,71,0,1,83,73,64,1
0,69,0,0,51,0,1,1,0,69,1,60,56.7,1,0,52,60,72,1
0,62,1,0,66,0,0,0,1,60.33,1,64,61.26,1,0,53,56,80,1
1,81,0,1,68,0,0,1,0,69,0,75,73.33,0,1,82,67,61,1
1,76,0,0,56,0,1,0,1,73.5,1,70,68.2,0,1,55,76,61,1
1,67,0,0,52,0,1,0,1,65,0,55.5,58.4,1,0,57,74,60,1
0,77.4,1,0,68.4,0,0,0,1,75.72,1,81.2,76.26,1,0,83,75,79,1
0,84.2,0,1,67.8,0,0,0,1,55,1,84,70.71,0,0,72,63,70,1
0,54,0,0,52,0,0,0,1,62,2,86,61.79,1,0,67,79,68,1
0,73.7,1,0,86.7,0,1,1,0,60,1,90,68.55,0,1,58,81,78,1
0,65.92,0,0,52.5,0,0,0,1,63.26,0,89.95,67.54,1,0,81,71,62,1
0,70,0,1,73,0,0,1,0,64,0,84,64.15,0,1,52,62,53,0
0,73,0,1,50,0,0,0,1,68,1,65,69.94,1,0,69,70,76,1
1,69.9,0,0,49,1,0,0,1,56,1,80,60.78,0,1,62,76,51,1
0,62,0,0,63,0,0,1,0,58,1,74.4,53.49,1,0,60,67,61,1
0,68,0,1,59,0,1,1,0,75,1,65,60.98,1,0,55,69,58,1
1,80.32,0,0,55,1,0,0,1,50,0,0,62.29,0,0,67,70,76,0
1,74.44,1,0,89,1,0,1,0,70,1,94,67.13,0,1,70,69,63,1
1,56,1,0,72,0,0,1,0,72,0,43,58.73,0,1,58,73,61,1
1,67,0,1,48,0,0,0,1,65,0,55.6,65.63,1,0,66,78,62,1
1,50,0,1,64,1,0,0,0,68,1,78,61.58,0,1,54,66,75,1
1,64,0,0,68,0,0,0,1,61,0,24.38,62.83,1,0,57,75,54,0
0,66.3,0,0,83.5,0,0,0,1,70,0,65,60.95,0,1,52,76,62,1
0,62,0,0,55,0,0,1,0,70,0,56,60.41,1,0,53,76,54,1
1,79,0,0,59,0,0,0,1,71,1,96,71.77,0,1,68,72,79,1
0,74,0,1,65,0,0,1,0,53,1,58,54.43,0,1,50,70,54,1
0,60,1,0,59.8,0,0,1,0,65.5,1,56,56.94,0,1,57,65,50,1
0,74,0,1,69,0,1,0,1,64,1,60,61.9,1,0,59,75,79,0
0,82,1,0,52,0,0,0,1,71.43,1,60,61.29,0,1,66,56,57,1
0,74.67,0,0,59.89,0,1,1,0,66.67,0,89,60.39,0,1,52,65,60,1
0,54,0,0,54,0,1,0,1,59,0,39,51.73,1,0,50,68,50,1
0,59,1,0,57,0,0,1,0,55,3,65,59.54,0,1,55,76,62,1
0,57,0,1,62.4,0,0,1,0,48,1,66.6,56.75,0,1,52,71,69,1
0,67.7,0,0,54,0,0,0,1,59,0,40,58.95,1,0,53,60,58,1
0,55,0,0,53,0,0,0,0,65,0,60,58.52,0,1,54,75,50,0
0,86.4,0,0,60.66,1,0,0,1,67.25,0,72,63.23,1,0,63,69,69,1
0,54,1,0,58,0,0,0,1,62,0,85,55.14,1,0,50,57,55,1
0,65,1,0,71,0,1,1,0,61,0,83,62.28,0,1,52,70,79,1
1,74,1,0,83,0,1,0,0,50,0,57,64.08,0,1,66,63,81,1
0,47,0,1,63,0,0,0,0,57,2,64.25,58.54,1,0,54,62,52,1
0,62,0,0,60,0,0,0,1,62,1,40,55.67,1,0,53,68,62,1
0,54.07,0,0,70.33,0,0,1,0,59,1,48.38,55.87,1,0,58,56,54,0
0,66,1,0,50.66,1,0,0,1,52,1,56,61.3,0,1,71,60,66,1
0,60,0,1,60,0,1,1,0,73,0,83,58.87,0,1,55,74,68,1
1,72.4,0,0,55.5,0,0,0,1,82,0,98,65.25,0,1,67,75,76,1
0,41,0,0,51,0,0,0,1,61,1,86,62.48,0,1,59,72,75,1
0,45,0,1,55,0,0,0,1,54,1,70,53.2,0,1,53,62,53,1
0,56.57,0,0,82.66,0,0,1,0,63.9,1,56.15,65.99,1,0,69,58,64,0
0,81.2,0,1,64.4,0,0,0,1,59,1,80,52.72,1,0,62,67,65,1
0,61.5,1,0,57.5,0,0,1,0,54.9,0,93.4,55.03,0,1,51,50,77,1
0,75,0,0,68,0,0,0,1,68,0,60,61.87,0,1,61,67,65,0
0,57,1,0,52,0,0,1,0,62,0,62,60.59,1,0,52,71,73,1
0,84,0,1,69,0,0,0,1,61,2,75,72.29,1,0,83,62,66,1
0,55,0,0,50,0,0,0,1,57,0,49.7,59.71,1,0,64,74,54,1
0,60.6,0,0,54,0,0,1,0,59.5,0,57.63,62.72,1,0,63,58,58,1
0,69.2,0,1,84.6,1,0,1,0,75.25,1,75.2,66.06,0,1,66,74,55,1
0,58,0,0,62,0,0,0,1,58,0,75,66.46,0,1,63,61,65,1
1,62.16,1,0,67.5,0,1,1,0,57.35,0,53.04,65.52,0,1,63,74,56,1
0,87.2,0,0,67.5,0,0,0,1,60.31,1,88,70.1,1,0,69,77,73,1
1,68.3,1,0,86.33,0,0,1,0,80,0,80,74.56,0,1,71,74,77,0
0,55.84,1,0,54,0,1,0,0,57,1,0,54.99,1,0,50,61,50,0
0,54,0,0,54,0,0,1,0,54,1,63,52.38,1,0,53,58,56,1
0,75.9,0,0,70,0,0,0,1,73,1,58.1,75.71,0,1,70,74,71,0
1,51,0,1,56,0,1,1,0,62,1,60,58.79,1,0,61,65,82,0
0,64.96,0,0,45.16,0,1,0,1,65.26,1,54.48,65.48,1,0,69,75,61,0
1,71.4,0,0,75.2,1,0,1,0,64,0,58.06,69.28,1,0,61,78,64,0
0,75,0,1,60,0,0,0,1,69,1,80,66.39,0,1,60,71,68,1
0,77,0,0,77,0,1,1,0,70,1,63.79,66.04,0,1,64,72,59,1
0,60,0,1,80,1,0,1,0,84,0,95.5,72.97,1,0,83,76,74,1
0,68,0,0,50,0,0,1,0,50,0,84,52.64,1,0,50,62,56,1
0,78,0,0,73,0,0,1,0,68,0,49,64.79,0,1,73,70,73,1
1,55,0,0,57,0,0,0,1,57,1,67,59.32,1,0,50,67,59,1
1,67.67,1,0,75,1,0,1,0,67.8,0,49.94,67.44,0,1,72,66,69,0
0,70.24,0,0,42.83,0,1,0,1,60.27,2,64,66.23,0,1,65,82,79,1
0,68,0,0,67,0,0,0,1,69,0,87.5,60.69,0,0,61,71,57,0
1,51,0,1,52,0,0,1,0,50,0,55,57.9,1,0,66,69,77,1
0,60.6,0,1,66.6,0,0,1,0,55.7,0,76.2,58.67,1,0,54,66,57,1
1,70,1,0,94,0,0,1,0,77,2,89,70.81,0,1,73,68,80,1
0,63,0,0,48,1,0,0,1,64,0,73,68.07,1,0,66,70,75,1
0,48,0,1,63,0,1,1,0,59.7,0,44.2,62,0,1,52,69,75,1
1,85.8,0,1,69,1,0,0,1,68.2,0,75.5,72.14,1,0,74,78,69,0
0,60,0,1,66.5,0,1,1,0,56.8,1,57,56.6,0,1,50,72,65,1
0,71,0,0,59,0,0,1,0,63,1,35,54.04,1,0,56,65,50,1
0,67,1,0,65.33,0,0,0,1,68.21,0,63,60.02,1,0,76,62,77,0
1,67,1,0,71,0,0,1,0,65,0,62,64.28,1,0,56,77,83,1
1,69,0,0,55,0,0,1,0,61,1,74,68.68,0,1,63,79,74,1
0,52,0,1,49,0,1,1,0,66,0,0,54.12,0,0,51,72,63,1
0,57,0,0,73,0,1,0,0,59,1,75,59.81,0,1,53,67,62,0
0,60,0,1,74,0,1,1,0,65,0,60,61.82,1,0,57,72,50,1
1,61.28,0,0,70.83,0,0,1,0,63.79,0,60,57.29,1,0,54,67,69,0
1,85,1,0,67,0,0,0,1,76,0,82,71.43,1,0,68,75,80,1
1,55,1,0,69,0,0,1,0,65,0,55,62.93,0,1,50,75,66,0
0,75.5,1,0,60.5,0,1,0,1,63,1,95,64.86,0,1,68,81,70,1
0,66.8,0,0,50,0,0,1,0,56.38,1,57,56.13,0,1,50,69,69,0
1,77,0,0,82,0,1,1,0,75,0,60,66.63,0,1,64,77,62,1
1,59,1,0,85.6,1,0,1,0,75.2,0,95.65,66.94,0,1,73,66,63,0
0,65,1,0,65,0,0,0,1,75,0,93,63.94,1,0,73,73,56,0
1,69,0,0,78.2,0,0,1,0,65,0,50,62.5,0,1,65,63,59,0
0,63.68,0,0,58.19,0,1,1,0,72.24,0,36.56,66.18,0,1,71,73,63,0
0,62,0,0,53,0,0,0,1,68,0,72,61.01,0,1,53,72,63,1
0,60.2,0,1,56.4,0,0,1,0,58.8,1,93.4,57.34,0,1,60,68,57,1
1,52,0,1,58,0,0,0,0,50,2,80,56.63,1,0,51,70,67,1
0,57,0,0,60,0,0,1,0,60.3,0,59,64.74,0,1,67,66,59,0
0,61,1,0,73,0,0,1,0,68,1,84,58.95,1,0,50,59,59,1
0,75,0,0,56,0,0,1,0,53,0,85,54.5,0,1,52,50,50,1
0,67,0,0,55,0,0,0,1,75.5,1,78,54.48,0,1,53,68,77,1
1,80.96,0,0,45,1,0,0,1,89,0,59.32,69.71,1,0,76,77,66,1
1,75,1,0,78,0,0,1,0,71,2,88,71.96,1,0,66,77,78,1
1,61,1,0,76,0,0,0,0,48,0,79,63.91,1,0,56,61,60,1
0,64,0,0,60,0,0,1,0,51,0,73,55.8,0,0,56,57,53,1
0,64,0,0,52,0,0,1,0,61,0,87.55,52.81,0,1,54,60,67,1
0,78,0,0,47,0,0,0,1,53,0,84,56.12,0,1,60,66,68,1
0,74.81,1,0,75.32,1,0,1,0,48.23,0,83,53.37,0,1,54,60,53,1
0,59.2,0,1,68,0,0,0,1,60,1,79,58.44,1,0,52,64,63,0
0,65,0,1,55,0,0,0,1,60,0,61.28,60.11,1,0,62,72,65,1
1,84,1,0,87,0,1,1,0,75,0,80,72.21,0,1,79,67,64,0
0,47.68,0,0,53.33,0,1,1,0,50.87,0,66,58.3,1,0,50,59,50,1
1,63,0,1,58,0,0,1,0,69,0,63,69.12,0,1,57,77,78,1
0,44.4,0,0,60.6,0,0,1,0,61,0,63,56.98,0,1,52,62,54,1
1,66.5,1,0,58.8,0,1,0,1,57.8,0,60,63.42,1,0,74,69,51,1
1,71,0,0,70,0,0,1,0,69,2,80,67.69,0,1,84,70,73,1
0,37,0,0,53,0,0,1,0,60,0,48,52.64,0,0,57,71,58,1
0,56,0,0,57,0,0,1,0,59,0,62,56.81,0,1,50,73,50,1
0,82,0,0,72,0,0,1,0,66,0,26.53,60.39,0,1,72,56,62,1
0,72,0,0,49,0,0,1,0,47,1,98,60.04,0,1,50,60,62,1
0,44,0,1,45,0,0,0,1,64,0,97,53.39,0,1,60,58,58,0
0,80.33,1,0,75,0,1,1,0,55,1,88.56,71.55,0,1,74,77,54,1
0,49.3,0,0,49,0,0,0,1,54,0,64,56.45,1,0,58,66,69,1
1,46,0,1,65,0,0,0,1,71,0,92.66,62.92,1,0,55,71,82,1
0,54,0,1,67,0,0,1,0,61,0,67,56.49,0,1,53,71,74,1
0,77.6,0,0,79,0,1,1,0,75.6,0,91,74.49,0,1,85,85,83,1
